Sample in Buffer,Sample in Window,TRIGGER,probe0_pc[31:0],probe1_status[3:0],probe2_membus_live[2:0],probe3_mem_addr[31:0],probe4_membus_counts[31:0],probe5_uart[3:0],probe6_flags[2:0]
683,683,0,80000078,d,0,1001200c,00000000,4,4
684,684,0,80000078,c,0,1001200c,00000000,4,4
685,685,0,80000078,c,0,1001200c,00000000,4,4
686,686,0,80000078,d,0,1001200c,00000000,4,4
687,687,0,80000078,c,0,1001200c,00000000,4,4
688,688,0,80000078,c,0,1001200c,00000000,4,4
689,689,0,80000078,d,0,1001200c,00000000,4,4
690,690,0,80000078,c,0,1001200c,00000000,4,4
691,691,0,80000078,c,0,1001200c,00000000,4,4
692,692,0,80000078,d,0,1001200c,00000000,4,4
693,693,0,80000078,c,0,1001200c,00000000,4,4
694,694,0,80000078,c,0,1001200c,00000000,4,4
695,695,0,80000078,d,0,1001200c,00000000,4,4
696,696,0,80000078,c,0,1001200c,00000000,4,4
697,697,0,80000078,c,0,1001200c,00000000,4,4
698,698,0,80000078,d,0,1001200c,00000000,4,4
699,699,0,80000078,d,0,1001200c,00000000,4,4
700,700,0,80000078,c,0,1001200c,00000000,4,4
701,701,0,80000078,d,0,1001200c,00000000,4,4
702,702,0,80000078,d,0,1001200c,00000000,4,4
703,703,0,80000078,c,0,1001200c,00000000,4,4
704,704,0,80000078,d,0,1001200c,00000000,4,4
705,705,0,80000078,d,0,1001200c,00000000,4,4
706,706,0,80000078,c,0,1001200c,00000000,4,4
707,707,0,80000078,d,0,1001200c,00000000,4,4
708,708,0,80000078,d,0,1001200c,00000000,4,4
709,709,0,80000078,c,0,1001200c,00000000,4,4
710,710,0,80000078,c,0,1001200c,00000000,4,4
711,711,0,80000078,d,0,1001200c,00000000,4,4
712,712,0,80000078,c,0,1001200c,00000000,4,4
713,713,0,80000078,c,0,1001200c,00000000,4,4
714,714,0,80000078,d,0,1001200c,00000000,4,4
715,715,0,80000078,c,0,1001200c,00000000,4,4
716,716,0,80000078,c,0,1001200c,00000000,4,4
717,717,0,80000078,d,0,1001200c,00000000,4,4
718,718,0,80000078,c,0,1001200c,00000000,4,4
719,719,0,80000078,c,0,1001200c,00000000,4,4
720,720,0,80000078,d,0,1001200c,00000000,4,4
721,721,0,80000078,c,0,1001200c,00000000,4,4
722,722,0,80000078,c,0,1001200c,00000000,4,4
723,723,0,80000078,d,0,1001200c,00000000,4,4
724,724,0,80000078,d,0,1001200c,00000000,4,4
725,725,0,80000078,c,0,1001200c,00000000,4,4
726,726,0,80000078,d,0,1001200c,00000000,4,4
727,727,0,80000078,d,0,1001200c,00000000,4,4
728,728,0,80000078,c,0,1001200c,00000000,4,4
729,729,0,80000078,d,0,1001200c,00000000,4,4
730,730,0,80000078,d,0,1001200c,00000000,4,4
731,731,0,80000078,c,0,1001200c,00000000,4,4
732,732,0,80000078,d,0,1001200c,00000000,4,4
733,733,0,80000078,d,0,1001200c,00000000,4,4
734,734,0,80000078,c,0,1001200c,00000000,4,4
735,735,0,80000078,c,0,1001200c,00000000,4,4
736,736,0,80000078,d,0,1001200c,00000000,4,4
737,737,0,80000078,c,0,1001200c,00000000,4,4
738,738,0,80000078,c,0,1001200c,00000000,4,4
739,739,0,80000078,d,0,1001200c,00000000,4,4
740,740,0,80000078,c,0,1001200c,00000000,4,4
741,741,0,80000078,c,0,1001200c,00000000,4,4
742,742,0,80000078,d,0,1001200c,00000000,4,4
743,743,0,80000078,c,0,1001200c,00000000,4,4
744,744,0,80000078,c,0,1001200c,00000000,4,4
745,745,0,80000078,d,0,1001200c,00000000,4,4
746,746,0,80000078,c,0,1001200c,00000000,4,4
747,747,0,80000078,c,0,1001200c,00000000,4,4
748,748,0,80000078,d,0,1001200c,00000000,4,4
749,749,0,80000078,d,0,1001200c,00000000,4,4
750,750,0,80000078,c,0,1001200c,00000000,4,4
751,751,0,80000078,d,0,1001200c,00000000,4,4
752,752,0,80000078,d,0,1001200c,00000000,4,4
753,753,0,80000078,c,0,1001200c,00000000,4,4
754,754,0,80000078,d,0,1001200c,00000000,4,4
755,755,0,80000078,d,0,1001200c,00000000,4,4
756,756,0,80000078,c,0,1001200c,00000000,4,4
757,757,0,80000078,d,0,1001200c,00000000,4,4
758,758,0,80000078,d,0,1001200c,00000000,4,4
759,759,0,80000078,c,0,1001200c,00000000,4,4
760,760,0,80000078,c,0,1001200c,00000000,4,4
761,761,0,80000078,d,0,1001200c,00000000,4,4
762,762,0,80000078,c,0,1001200c,00000000,4,4
763,763,0,80000078,c,0,1001200c,00000000,4,4
764,764,0,80000078,d,0,1001200c,00000000,4,4
765,765,0,80000078,c,0,1001200c,00000000,4,4
766,766,0,80000078,c,0,1001200c,00000000,4,4
767,767,0,80000078,d,0,1001200c,00000000,4,4
768,768,0,80000078,c,0,1001200c,00000000,4,4
769,769,0,80000078,c,0,1001200c,00000000,4,4
770,770,0,80000078,d,0,1001200c,00000000,4,4
771,771,0,80000078,c,0,1001200c,00000000,4,4
772,772,0,80000078,c,0,1001200c,00000000,4,4
773,773,0,80000078,d,0,1001200c,00000000,4,4
774,774,0,80000078,d,0,1001200c,00000000,4,4
775,775,0,80000078,c,0,1001200c,00000000,4,4
776,776,0,80000078,d,0,1001200c,00000000,4,4
777,777,0,80000078,d,0,1001200c,00000000,4,4
778,778,0,80000078,c,0,1001200c,00000000,4,4
779,779,0,80000078,d,0,1001200c,00000000,4,4
780,780,0,80000078,d,0,1001200c,00000000,4,4
781,781,0,80000078,c,0,1001200c,00000000,4,4
782,782,0,80000078,d,0,1001200c,00000000,4,4
783,783,0,80000078,d,0,1001200c,00000000,4,4
784,784,0,80000078,c,0,1001200c,00000000,4,4
785,785,0,80000078,c,0,1001200c,00000000,4,4
786,786,0,80000078,d,0,1001200c,00000000,4,4
787,787,0,80000078,c,0,1001200c,00000000,4,4
788,788,0,80000078,c,0,1001200c,00000000,4,4
789,789,0,80000078,d,0,1001200c,00000000,4,4
790,790,0,80000078,c,0,1001200c,00000000,4,4
791,791,0,80000078,c,0,1001200c,00000000,4,4
792,792,0,80000078,d,0,1001200c,00000000,4,4
793,793,0,80000078,c,0,1001200c,00000000,4,4
794,794,0,80000078,c,0,1001200c,00000000,4,4
795,795,0,80000078,d,0,1001200c,00000000,4,4
796,796,0,80000078,c,0,1001200c,00000000,4,4
797,797,0,80000078,c,0,1001200c,00000000,4,4
798,798,0,80000078,d,0,1001200c,00000000,4,4
799,799,0,80000078,d,0,1001200c,00000000,4,4
800,800,0,80000078,c,0,1001200c,00000000,4,4
801,801,0,80000078,d,0,1001200c,00000000,4,4
802,802,0,80000078,d,0,1001200c,00000000,4,4
803,803,0,80000078,c,0,1001200c,00000000,4,4
804,804,0,80000078,d,0,1001200c,00000000,4,4
805,805,0,80000078,d,0,1001200c,00000000,4,4
806,806,0,80000078,c,0,1001200c,00000000,4,4
807,807,0,80000078,d,0,1001200c,00000000,4,4
808,808,0,80000078,d,0,1001200c,00000000,4,4
809,809,0,80000078,c,0,1001200c,00000000,4,4
810,810,0,80000078,c,0,1001200c,00000000,4,4
811,811,0,80000078,d,0,1001200c,00000000,4,4
812,812,0,80000078,c,0,1001200c,00000000,4,4
813,813,0,80000078,c,0,1001200c,00000000,4,4
814,814,0,80000078,d,0,1001200c,00000000,4,4
815,815,0,80000078,c,0,1001200c,00000000,4,4
816,816,0,80000078,c,0,1001200c,00000000,4,4
817,817,0,80000078,d,0,1001200c,00000000,4,4
818,818,0,80000078,c,0,1001200c,00000000,4,4
819,819,0,80000078,c,0,1001200c,00000000,4,4
820,820,0,80000078,d,0,1001200c,00000000,4,4
821,821,0,80000078,c,0,1001200c,00000000,4,4
822,822,0,80000078,c,0,1001200c,00000000,4,4
823,823,0,80000078,d,0,1001200c,00000000,4,4
824,824,0,80000078,d,0,1001200c,00000000,4,4
825,825,0,80000078,c,0,1001200c,00000000,4,4
826,826,0,80000078,d,0,1001200c,00000000,4,4
827,827,0,80000078,d,0,1001200c,00000000,4,4
828,828,0,80000078,c,0,1001200c,00000000,4,4
829,829,0,80000078,d,0,1001200c,00000000,4,4
830,830,0,80000078,d,0,1001200c,00000000,4,4
831,831,0,80000078,c,0,1001200c,00000000,4,4
832,832,0,80000078,d,0,1001200c,00000000,4,4
833,833,0,80000078,d,0,1001200c,00000000,4,4
834,834,0,80000078,c,0,1001200c,00000000,4,4
835,835,0,80000078,c,0,1001200c,00000000,4,4
836,836,0,80000078,d,0,1001200c,00000000,4,4
837,837,0,80000078,c,0,1001200c,00000000,4,4
838,838,0,80000078,c,0,1001200c,00000000,4,4
839,839,0,80000078,d,0,1001200c,00000000,4,4
840,840,0,80000078,c,0,1001200c,00000000,4,4
841,841,0,80000078,c,0,1001200c,00000000,4,4
842,842,0,80000078,d,0,1001200c,00000000,4,4
843,843,0,80000078,c,0,1001200c,00000000,4,4
844,844,0,80000078,c,0,1001200c,00000000,4,4
845,845,0,80000078,d,0,1001200c,00000000,4,4
846,846,0,80000078,c,0,1001200c,00000000,4,4
847,847,0,80000078,c,0,1001200c,00000000,4,4
848,848,0,80000078,d,0,1001200c,00000000,4,4
849,849,0,80000078,d,0,1001200c,00000000,4,4
850,850,0,80000078,c,0,1001200c,00000000,4,4
851,851,0,80000078,d,0,1001200c,00000000,4,4
852,852,0,80000078,d,0,1001200c,00000000,4,4
853,853,0,80000078,c,0,1001200c,00000000,4,4
854,854,0,80000078,d,0,1001200c,00000000,4,4
855,855,0,80000078,d,0,1001200c,00000000,4,4
856,856,0,80000078,c,0,1001200c,00000000,4,4
857,857,0,80000078,d,0,1001200c,00000000,4,4
858,858,0,80000078,d,0,1001200c,00000000,4,4
859,859,0,80000078,c,0,1001200c,00000000,4,4
860,860,0,80000078,c,0,1001200c,00000000,4,4
861,861,0,80000078,d,0,1001200c,00000000,4,4
862,862,0,80000078,c,0,1001200c,00000000,4,4
863,863,0,80000078,c,0,1001200c,00000000,4,4
864,864,0,80000078,d,0,1001200c,00000000,4,4
865,865,0,80000078,c,0,1001200c,00000000,4,4
866,866,0,80000078,c,0,1001200c,00000000,4,4
867,867,0,80000078,d,0,1001200c,00000000,4,4
868,868,0,80000078,c,0,1001200c,00000000,4,4
869,869,0,80000078,c,0,1001200c,00000000,4,4
870,870,0,80000078,d,0,1001200c,00000000,4,4
871,871,0,80000078,c,0,1001200c,00000000,4,4
872,872,0,80000078,c,0,1001200c,00000000,4,4
873,873,0,80000078,d,0,1001200c,00000000,4,4
874,874,0,80000078,d,0,1001200c,00000000,4,4
875,875,0,80000078,c,0,1001200c,00000000,4,4
876,876,0,80000078,d,0,1001200c,00000000,4,4
877,877,0,80000078,d,0,1001200c,00000000,4,4
878,878,0,80000078,c,0,1001200c,00000000,4,4
879,879,0,80000078,d,0,1001200c,00000000,4,4
880,880,0,80000078,d,0,1001200c,00000000,4,4
881,881,0,80000078,c,0,1001200c,00000000,4,4
882,882,0,80000078,d,0,1001200c,00000000,4,4
883,883,0,80000078,d,0,1001200c,00000000,4,4
884,884,0,80000078,c,0,1001200c,00000000,4,4
885,885,0,80000078,c,0,1001200c,00000000,4,4
886,886,0,80000078,d,0,1001200c,00000000,4,4
887,887,0,80000078,c,0,1001200c,00000000,4,4
888,888,0,80000078,c,0,1001200c,00000000,4,4
889,889,0,80000078,d,0,1001200c,00000000,4,4
890,890,0,80000078,c,0,1001200c,00000000,4,4
891,891,0,80000078,c,0,1001200c,00000000,4,4
892,892,0,80000078,d,0,1001200c,00000000,4,4
893,893,0,80000078,c,0,1001200c,00000000,4,4
894,894,0,80000078,c,0,1001200c,00000000,4,4
895,895,0,80000078,d,0,1001200c,00000000,4,4
896,896,0,80000078,c,0,1001200c,00000000,4,4
897,897,0,80000078,c,0,1001200c,00000000,4,4
898,898,0,80000078,d,0,1001200c,00000000,4,4
899,899,0,80000078,d,0,1001200c,00000000,4,4
900,900,0,80000078,c,0,1001200c,00000000,4,4
901,901,0,80000078,d,0,1001200c,00000000,4,4
902,902,0,80000078,d,0,1001200c,00000000,4,4
903,903,0,80000078,c,0,1001200c,00000000,4,4
904,904,0,80000078,d,0,1001200c,00000000,4,4
905,905,0,80000078,d,0,1001200c,00000000,4,4
906,906,0,80000078,c,0,1001200c,00000000,4,4
907,907,0,80000078,d,0,1001200c,00000000,4,4
908,908,0,80000078,d,0,1001200c,00000000,4,4
909,909,0,80000078,c,0,1001200c,00000000,4,4
910,910,0,80000078,c,0,1001200c,00000000,4,4
911,911,0,80000078,d,0,1001200c,00000000,4,4
912,912,0,80000078,c,0,1001200c,00000000,4,4
913,913,0,80000078,c,0,1001200c,00000000,4,4
914,914,0,80000078,d,0,1001200c,00000000,4,4
915,915,0,80000078,c,0,1001200c,00000000,4,4
916,916,0,80000078,c,0,1001200c,00000000,4,4
917,917,0,80000078,d,0,1001200c,00000000,4,4
918,918,0,80000078,c,0,1001200c,00000000,4,4
919,919,0,80000078,c,0,1001200c,00000000,4,4
920,920,0,80000078,d,0,1001200c,00000000,4,4
921,921,0,80000078,c,0,1001200c,00000000,4,4
922,922,0,80000078,c,0,1001200c,00000000,4,4
923,923,0,80000078,d,0,1001200c,00000000,4,4
924,924,0,80000078,d,0,1001200c,00000000,4,4
925,925,0,80000078,c,0,1001200c,00000000,4,4
926,926,0,80000078,d,0,1001200c,00000000,4,4
927,927,0,80000078,d,0,1001200c,00000000,4,4
928,928,0,80000078,c,0,1001200c,00000000,4,4
929,929,0,80000078,d,0,1001200c,00000000,4,4
930,930,0,80000078,d,0,1001200c,00000000,4,4
931,931,0,80000078,c,0,1001200c,00000000,4,4
932,932,0,80000078,d,0,1001200c,00000000,4,4
933,933,0,80000078,d,0,1001200c,00000000,4,4
934,934,0,80000078,c,0,1001200c,00000000,4,4
935,935,0,80000078,c,0,1001200c,00000000,4,4
936,936,0,80000078,d,0,1001200c,00000000,4,4
937,937,0,80000078,c,0,1001200c,00000000,4,4
938,938,0,80000078,c,0,1001200c,00000000,4,4
939,939,0,80000078,d,0,1001200c,00000000,4,4
940,940,0,80000078,c,0,1001200c,00000000,4,4
941,941,0,80000078,c,0,1001200c,00000000,4,4
942,942,0,80000078,d,0,1001200c,00000000,4,4
943,943,0,80000078,c,0,1001200c,00000000,4,4
944,944,0,80000078,c,0,1001200c,00000000,4,4
945,945,0,80000078,d,0,1001200c,00000000,4,4
946,946,0,80000078,c,0,1001200c,00000000,4,4
947,947,0,80000078,c,0,1001200c,00000000,4,4
948,948,0,80000078,d,0,1001200c,00000000,4,4
949,949,0,80000078,d,0,1001200c,00000000,4,4
950,950,0,80000078,c,0,1001200c,00000000,4,4
951,951,0,80000078,d,0,1001200c,00000000,4,4
952,952,0,80000078,d,0,1001200c,00000000,4,4
953,953,0,80000078,c,0,1001200c,00000000,4,4
954,954,0,80000078,d,0,1001200c,00000000,4,4
955,955,0,80000078,d,0,1001200c,00000000,4,4
956,956,0,80000078,c,0,1001200c,00000000,4,4
957,957,0,80000078,d,0,1001200c,00000000,4,4
958,958,0,80000078,d,0,1001200c,00000000,4,4
959,959,0,80000078,c,0,1001200c,00000000,4,4
960,960,0,80000078,c,0,1001200c,00000000,4,4
961,961,0,80000078,d,0,1001200c,00000000,4,4
962,962,0,80000078,c,0,1001200c,00000000,4,4
963,963,0,80000078,c,0,1001200c,00000000,4,4
964,964,0,80000078,d,0,1001200c,00000000,4,4
965,965,0,80000078,c,0,1001200c,00000000,4,4
966,966,0,80000078,c,0,1001200c,00000000,4,4
967,967,0,80000078,d,0,1001200c,00000000,4,4
968,968,0,80000078,c,0,1001200c,00000000,4,4
969,969,0,80000078,c,0,1001200c,00000000,4,4
970,970,0,80000078,d,0,1001200c,00000000,4,4
971,971,0,80000078,c,0,1001200c,00000000,4,4
972,972,0,80000078,c,0,1001200c,00000000,4,4
973,973,0,80000078,d,0,1001200c,00000000,4,4
974,974,0,80000078,d,0,1001200c,00000000,4,4
975,975,0,80000078,c,0,1001200c,00000000,4,4
976,976,0,80000078,d,0,1001200c,00000000,4,4
977,977,0,80000078,d,0,1001200c,00000000,4,4
978,978,0,80000078,c,0,1001200c,00000000,4,4
979,979,0,80000078,d,0,1001200c,00000000,4,4
980,980,0,80000078,d,0,1001200c,00000000,4,4
981,981,0,80000078,c,0,1001200c,00000000,4,4
982,982,0,80000078,d,0,1001200c,00000000,4,4
983,983,0,80000078,d,0,1001200c,00000000,4,4
984,984,0,80000078,c,0,1001200c,00000000,4,4
985,985,0,80000078,c,0,1001200c,00000000,4,4
986,986,0,80000078,d,0,1001200c,00000000,4,4
987,987,0,80000078,c,0,1001200c,00000000,4,4
988,988,0,80000078,c,0,1001200c,00000000,4,4
989,989,0,80000078,d,0,1001200c,00000000,4,4
990,990,0,80000078,c,0,1001200c,00000000,4,4
991,991,0,80000078,c,0,1001200c,00000000,4,4
992,992,0,80000078,d,0,1001200c,00000000,4,4
993,993,0,80000078,c,0,1001200c,00000000,4,4
994,994,0,80000078,c,0,1001200c,00000000,4,4
995,995,0,80000078,d,0,1001200c,00000000,4,4
996,996,0,80000078,c,0,1001200c,00000000,4,4
997,997,0,80000078,c,0,1001200c,00000000,4,4
998,998,0,80000078,d,0,1001200c,00000000,4,4
999,999,0,80000078,d,0,1001200c,00000000,4,4
1000,1000,0,80000078,c,0,1001200c,00000000,4,4
1001,1001,0,80000078,d,0,1001200c,00000000,4,4
1002,1002,0,80000078,d,0,1001200c,00000000,4,4
1003,1003,0,80000078,c,0,1001200c,00000000,4,4
1004,1004,0,80000078,d,0,1001200c,00000000,4,4
1005,1005,0,80000078,d,0,1001200c,00000000,4,4
1006,1006,0,80000078,c,0,1001200c,00000000,4,4
1007,1007,0,80000078,d,0,1001200c,00000000,4,4
1008,1008,0,80000078,d,0,1001200c,00000000,4,4
1009,1009,0,80000078,c,0,1001200c,00000000,4,4
1010,1010,0,80000078,c,0,1001200c,00000000,4,4
1011,1011,0,80000078,d,0,1001200c,00000000,4,4
1012,1012,0,80000078,c,0,1001200c,00000000,4,4
1013,1013,0,80000078,c,0,1001200c,00000000,4,4
1014,1014,0,80000078,d,0,1001200c,00000000,4,4
1015,1015,0,80000078,c,0,1001200c,00000000,4,4
1016,1016,0,80000078,c,0,1001200c,00000000,4,4
1017,1017,0,80000078,d,0,1001200c,00000000,4,4
1018,1018,0,80000078,c,0,1001200c,00000000,4,4
1019,1019,0,80000078,c,0,1001200c,00000000,4,4
1020,1020,0,80000078,d,0,1001200c,00000000,4,4
1021,1021,0,80000078,c,0,1001200c,00000000,4,4
1022,1022,0,80000078,c,0,1001200c,00000000,4,4
1023,1023,0,80000078,d,0,1001200c,00000000,4,4
