Sample in Buffer,Sample in Window,TRIGGER,probe0_counter[31:0],probe1_reset[3:0],probe2_inputs[2:0],probe3_zero[31:0],probe4_zero[31:0],probe5_jtag[3:0],probe6_status[2:0]
683,683,0,01596286,c,7,00000000,00000000,f,4
684,684,0,01596287,c,7,00000000,00000000,f,4
685,685,0,01596288,c,7,00000000,00000000,f,4
686,686,0,01596289,c,7,00000000,00000000,f,4
687,687,0,0159628a,c,7,00000000,00000000,f,4
688,688,0,0159628b,c,7,00000000,00000000,f,4
689,689,0,0159628c,c,7,00000000,00000000,f,4
690,690,0,0159628d,c,7,00000000,00000000,f,4
691,691,0,0159628e,c,7,00000000,00000000,f,4
692,692,0,0159628f,c,7,00000000,00000000,f,4
693,693,0,01596290,c,7,00000000,00000000,f,4
694,694,0,01596291,c,7,00000000,00000000,f,4
695,695,0,01596292,c,7,00000000,00000000,f,4
696,696,0,01596293,c,7,00000000,00000000,f,4
697,697,0,01596294,c,7,00000000,00000000,f,4
698,698,0,01596295,c,7,00000000,00000000,f,4
699,699,0,01596296,c,7,00000000,00000000,f,4
700,700,0,01596297,c,7,00000000,00000000,f,4
701,701,0,01596298,c,7,00000000,00000000,f,4
702,702,0,01596299,c,7,00000000,00000000,f,4
703,703,0,0159629a,c,7,00000000,00000000,f,4
704,704,0,0159629b,c,7,00000000,00000000,f,4
705,705,0,0159629c,c,7,00000000,00000000,f,4
706,706,0,0159629d,c,7,00000000,00000000,f,4
707,707,0,0159629e,c,7,00000000,00000000,f,4
708,708,0,0159629f,c,7,00000000,00000000,f,4
709,709,0,015962a0,c,7,00000000,00000000,f,4
710,710,0,015962a1,c,7,00000000,00000000,f,4
711,711,0,015962a2,c,7,00000000,00000000,f,4
712,712,0,015962a3,c,7,00000000,00000000,f,4
713,713,0,015962a4,c,7,00000000,00000000,f,4
714,714,0,015962a5,c,7,00000000,00000000,f,4
715,715,0,015962a6,c,7,00000000,00000000,f,4
716,716,0,015962a7,c,7,00000000,00000000,f,4
717,717,0,015962a8,c,7,00000000,00000000,f,4
718,718,0,015962a9,c,7,00000000,00000000,f,4
719,719,0,015962aa,c,7,00000000,00000000,f,4
720,720,0,015962ab,c,7,00000000,00000000,f,4
721,721,0,015962ac,c,7,00000000,00000000,f,4
722,722,0,015962ad,c,7,00000000,00000000,f,4
723,723,0,015962ae,c,7,00000000,00000000,f,4
724,724,0,015962af,c,7,00000000,00000000,f,4
725,725,0,015962b0,c,7,00000000,00000000,f,4
726,726,0,015962b1,c,7,00000000,00000000,f,4
727,727,0,015962b2,c,7,00000000,00000000,f,4
728,728,0,015962b3,c,7,00000000,00000000,f,4
729,729,0,015962b4,c,7,00000000,00000000,f,4
730,730,0,015962b5,c,7,00000000,00000000,f,4
731,731,0,015962b6,c,7,00000000,00000000,f,4
732,732,0,015962b7,c,7,00000000,00000000,f,4
733,733,0,015962b8,c,7,00000000,00000000,f,4
734,734,0,015962b9,c,7,00000000,00000000,f,4
735,735,0,015962ba,c,7,00000000,00000000,f,4
736,736,0,015962bb,c,7,00000000,00000000,f,4
737,737,0,015962bc,c,7,00000000,00000000,f,4
738,738,0,015962bd,c,7,00000000,00000000,f,4
739,739,0,015962be,c,7,00000000,00000000,f,4
740,740,0,015962bf,c,7,00000000,00000000,f,4
741,741,0,015962c0,c,7,00000000,00000000,f,4
742,742,0,015962c1,c,7,00000000,00000000,f,4
743,743,0,015962c2,c,7,00000000,00000000,f,4
744,744,0,015962c3,c,7,00000000,00000000,f,4
745,745,0,015962c4,c,7,00000000,00000000,f,4
746,746,0,015962c5,c,7,00000000,00000000,f,4
747,747,0,015962c6,c,7,00000000,00000000,f,4
748,748,0,015962c7,c,7,00000000,00000000,f,4
749,749,0,015962c8,c,7,00000000,00000000,f,4
750,750,0,015962c9,c,7,00000000,00000000,f,4
751,751,0,015962ca,c,7,00000000,00000000,f,4
752,752,0,015962cb,c,7,00000000,00000000,f,4
753,753,0,015962cc,c,7,00000000,00000000,f,4
754,754,0,015962cd,c,7,00000000,00000000,f,4
755,755,0,015962ce,c,7,00000000,00000000,f,4
756,756,0,015962cf,c,7,00000000,00000000,f,4
757,757,0,015962d0,c,7,00000000,00000000,f,4
758,758,0,015962d1,c,7,00000000,00000000,f,4
759,759,0,015962d2,c,7,00000000,00000000,f,4
760,760,0,015962d3,c,7,00000000,00000000,f,4
761,761,0,015962d4,c,7,00000000,00000000,f,4
762,762,0,015962d5,c,7,00000000,00000000,f,4
763,763,0,015962d6,c,7,00000000,00000000,f,4
764,764,0,015962d7,c,7,00000000,00000000,f,4
765,765,0,015962d8,c,7,00000000,00000000,f,4
766,766,0,015962d9,c,7,00000000,00000000,f,4
767,767,0,015962da,c,7,00000000,00000000,f,4
768,768,0,015962db,c,7,00000000,00000000,f,4
769,769,0,015962dc,c,7,00000000,00000000,f,4
770,770,0,015962dd,c,7,00000000,00000000,f,4
771,771,0,015962de,c,7,00000000,00000000,f,4
772,772,0,015962df,c,7,00000000,00000000,f,4
773,773,0,015962e0,c,7,00000000,00000000,f,4
774,774,0,015962e1,c,7,00000000,00000000,f,4
775,775,0,015962e2,c,7,00000000,00000000,f,4
776,776,0,015962e3,c,7,00000000,00000000,f,4
777,777,0,015962e4,c,7,00000000,00000000,f,4
778,778,0,015962e5,c,7,00000000,00000000,f,4
779,779,0,015962e6,c,7,00000000,00000000,f,4
780,780,0,015962e7,c,7,00000000,00000000,f,4
781,781,0,015962e8,c,7,00000000,00000000,f,4
782,782,0,015962e9,c,7,00000000,00000000,f,4
783,783,0,015962ea,c,7,00000000,00000000,f,4
784,784,0,015962eb,c,7,00000000,00000000,f,4
785,785,0,015962ec,c,7,00000000,00000000,f,4
786,786,0,015962ed,c,7,00000000,00000000,f,4
787,787,0,015962ee,c,7,00000000,00000000,f,4
788,788,0,015962ef,c,7,00000000,00000000,f,4
789,789,0,015962f0,c,7,00000000,00000000,f,4
790,790,0,015962f1,c,7,00000000,00000000,f,4
791,791,0,015962f2,c,7,00000000,00000000,f,4
792,792,0,015962f3,c,7,00000000,00000000,f,4
793,793,0,015962f4,c,7,00000000,00000000,f,4
794,794,0,015962f5,c,7,00000000,00000000,f,4
795,795,0,015962f6,c,7,00000000,00000000,f,4
796,796,0,015962f7,c,7,00000000,00000000,f,4
797,797,0,015962f8,c,7,00000000,00000000,f,4
798,798,0,015962f9,c,7,00000000,00000000,f,4
799,799,0,015962fa,c,7,00000000,00000000,f,4
800,800,0,015962fb,c,7,00000000,00000000,f,4
801,801,0,015962fc,c,7,00000000,00000000,f,4
802,802,0,015962fd,c,7,00000000,00000000,f,4
803,803,0,015962fe,c,7,00000000,00000000,f,4
804,804,0,015962ff,c,7,00000000,00000000,f,4
805,805,0,01596300,c,7,00000000,00000000,f,4
806,806,0,01596301,c,7,00000000,00000000,f,4
807,807,0,01596302,c,7,00000000,00000000,f,4
808,808,0,01596303,c,7,00000000,00000000,f,4
809,809,0,01596304,c,7,00000000,00000000,f,4
810,810,0,01596305,c,7,00000000,00000000,f,4
811,811,0,01596306,c,7,00000000,00000000,f,4
812,812,0,01596307,c,7,00000000,00000000,f,4
813,813,0,01596308,c,7,00000000,00000000,f,4
814,814,0,01596309,c,7,00000000,00000000,f,4
815,815,0,0159630a,c,7,00000000,00000000,f,4
816,816,0,0159630b,c,7,00000000,00000000,f,4
817,817,0,0159630c,c,7,00000000,00000000,f,4
818,818,0,0159630d,c,7,00000000,00000000,f,4
819,819,0,0159630e,c,7,00000000,00000000,f,4
820,820,0,0159630f,c,7,00000000,00000000,f,4
821,821,0,01596310,c,7,00000000,00000000,f,4
822,822,0,01596311,c,7,00000000,00000000,f,4
823,823,0,01596312,c,7,00000000,00000000,f,4
824,824,0,01596313,c,7,00000000,00000000,f,4
825,825,0,01596314,c,7,00000000,00000000,f,4
826,826,0,01596315,c,7,00000000,00000000,f,4
827,827,0,01596316,c,7,00000000,00000000,f,4
828,828,0,01596317,c,7,00000000,00000000,f,4
829,829,0,01596318,c,7,00000000,00000000,f,4
830,830,0,01596319,c,7,00000000,00000000,f,4
831,831,0,0159631a,c,7,00000000,00000000,f,4
832,832,0,0159631b,c,7,00000000,00000000,f,4
833,833,0,0159631c,c,7,00000000,00000000,f,4
834,834,0,0159631d,c,7,00000000,00000000,f,4
835,835,0,0159631e,c,7,00000000,00000000,f,4
836,836,0,0159631f,c,7,00000000,00000000,f,4
837,837,0,01596320,c,7,00000000,00000000,f,4
838,838,0,01596321,c,7,00000000,00000000,f,4
839,839,0,01596322,c,7,00000000,00000000,f,4
840,840,0,01596323,c,7,00000000,00000000,f,4
841,841,0,01596324,c,7,00000000,00000000,f,4
842,842,0,01596325,c,7,00000000,00000000,f,4
843,843,0,01596326,c,7,00000000,00000000,f,4
844,844,0,01596327,c,7,00000000,00000000,f,4
845,845,0,01596328,c,7,00000000,00000000,f,4
846,846,0,01596329,c,7,00000000,00000000,f,4
847,847,0,0159632a,c,7,00000000,00000000,f,4
848,848,0,0159632b,c,7,00000000,00000000,f,4
849,849,0,0159632c,c,7,00000000,00000000,f,4
850,850,0,0159632d,c,7,00000000,00000000,f,4
851,851,0,0159632e,c,7,00000000,00000000,f,4
852,852,0,0159632f,c,7,00000000,00000000,f,4
853,853,0,01596330,c,7,00000000,00000000,f,4
854,854,0,01596331,c,7,00000000,00000000,f,4
855,855,0,01596332,c,7,00000000,00000000,f,4
856,856,0,01596333,c,7,00000000,00000000,f,4
857,857,0,01596334,c,7,00000000,00000000,f,4
858,858,0,01596335,c,7,00000000,00000000,f,4
859,859,0,01596336,c,7,00000000,00000000,f,4
860,860,0,01596337,c,7,00000000,00000000,f,4
861,861,0,01596338,c,7,00000000,00000000,f,4
862,862,0,01596339,c,7,00000000,00000000,f,4
863,863,0,0159633a,c,7,00000000,00000000,f,4
864,864,0,0159633b,c,7,00000000,00000000,f,4
865,865,0,0159633c,c,7,00000000,00000000,f,4
866,866,0,0159633d,c,7,00000000,00000000,f,4
867,867,0,0159633e,c,7,00000000,00000000,f,4
868,868,0,0159633f,c,7,00000000,00000000,f,4
869,869,0,01596340,c,7,00000000,00000000,f,4
870,870,0,01596341,c,7,00000000,00000000,f,4
871,871,0,01596342,c,7,00000000,00000000,f,4
872,872,0,01596343,c,7,00000000,00000000,f,4
873,873,0,01596344,c,7,00000000,00000000,f,4
874,874,0,01596345,c,7,00000000,00000000,f,4
875,875,0,01596346,c,7,00000000,00000000,f,4
876,876,0,01596347,c,7,00000000,00000000,f,4
877,877,0,01596348,c,7,00000000,00000000,f,4
878,878,0,01596349,c,7,00000000,00000000,f,4
879,879,0,0159634a,c,7,00000000,00000000,f,4
880,880,0,0159634b,c,7,00000000,00000000,f,4
881,881,0,0159634c,c,7,00000000,00000000,f,4
882,882,0,0159634d,c,7,00000000,00000000,f,4
883,883,0,0159634e,c,7,00000000,00000000,f,4
884,884,0,0159634f,c,7,00000000,00000000,f,4
885,885,0,01596350,c,7,00000000,00000000,f,4
886,886,0,01596351,c,7,00000000,00000000,f,4
887,887,0,01596352,c,7,00000000,00000000,f,4
888,888,0,01596353,c,7,00000000,00000000,f,4
889,889,0,01596354,c,7,00000000,00000000,f,4
890,890,0,01596355,c,7,00000000,00000000,f,4
891,891,0,01596356,c,7,00000000,00000000,f,4
892,892,0,01596357,c,7,00000000,00000000,f,4
893,893,0,01596358,c,7,00000000,00000000,f,4
894,894,0,01596359,c,7,00000000,00000000,f,4
895,895,0,0159635a,c,7,00000000,00000000,f,4
896,896,0,0159635b,c,7,00000000,00000000,f,4
897,897,0,0159635c,c,7,00000000,00000000,f,4
898,898,0,0159635d,c,7,00000000,00000000,f,4
899,899,0,0159635e,c,7,00000000,00000000,f,4
900,900,0,0159635f,c,7,00000000,00000000,f,4
901,901,0,01596360,c,7,00000000,00000000,f,4
902,902,0,01596361,c,7,00000000,00000000,f,4
903,903,0,01596362,c,7,00000000,00000000,f,4
904,904,0,01596363,c,7,00000000,00000000,f,4
905,905,0,01596364,c,7,00000000,00000000,f,4
906,906,0,01596365,c,7,00000000,00000000,f,4
907,907,0,01596366,c,7,00000000,00000000,f,4
908,908,0,01596367,c,7,00000000,00000000,f,4
909,909,0,01596368,c,7,00000000,00000000,f,4
910,910,0,01596369,c,7,00000000,00000000,f,4
911,911,0,0159636a,c,7,00000000,00000000,f,4
912,912,0,0159636b,c,7,00000000,00000000,f,4
913,913,0,0159636c,c,7,00000000,00000000,f,4
914,914,0,0159636d,c,7,00000000,00000000,f,4
915,915,0,0159636e,c,7,00000000,00000000,f,4
916,916,0,0159636f,c,7,00000000,00000000,f,4
917,917,0,01596370,c,7,00000000,00000000,f,4
918,918,0,01596371,c,7,00000000,00000000,f,4
919,919,0,01596372,c,7,00000000,00000000,f,4
920,920,0,01596373,c,7,00000000,00000000,f,4
921,921,0,01596374,c,7,00000000,00000000,f,4
922,922,0,01596375,c,7,00000000,00000000,f,4
923,923,0,01596376,c,7,00000000,00000000,f,4
924,924,0,01596377,c,7,00000000,00000000,f,4
925,925,0,01596378,c,7,00000000,00000000,f,4
926,926,0,01596379,c,7,00000000,00000000,f,4
927,927,0,0159637a,c,7,00000000,00000000,f,4
928,928,0,0159637b,c,7,00000000,00000000,f,4
929,929,0,0159637c,c,7,00000000,00000000,f,4
930,930,0,0159637d,c,7,00000000,00000000,f,4
931,931,0,0159637e,c,7,00000000,00000000,f,4
932,932,0,0159637f,c,7,00000000,00000000,f,4
933,933,0,01596380,c,7,00000000,00000000,f,4
934,934,0,01596381,c,7,00000000,00000000,f,4
935,935,0,01596382,c,7,00000000,00000000,f,4
936,936,0,01596383,c,7,00000000,00000000,f,4
937,937,0,01596384,c,7,00000000,00000000,f,4
938,938,0,01596385,c,7,00000000,00000000,f,4
939,939,0,01596386,c,7,00000000,00000000,f,4
940,940,0,01596387,c,7,00000000,00000000,f,4
941,941,0,01596388,c,7,00000000,00000000,f,4
942,942,0,01596389,c,7,00000000,00000000,f,4
943,943,0,0159638a,c,7,00000000,00000000,f,4
944,944,0,0159638b,c,7,00000000,00000000,f,4
945,945,0,0159638c,c,7,00000000,00000000,f,4
946,946,0,0159638d,c,7,00000000,00000000,f,4
947,947,0,0159638e,c,7,00000000,00000000,f,4
948,948,0,0159638f,c,7,00000000,00000000,f,4
949,949,0,01596390,c,7,00000000,00000000,f,4
950,950,0,01596391,c,7,00000000,00000000,f,4
951,951,0,01596392,c,7,00000000,00000000,f,4
952,952,0,01596393,c,7,00000000,00000000,f,4
953,953,0,01596394,c,7,00000000,00000000,f,4
954,954,0,01596395,c,7,00000000,00000000,f,4
955,955,0,01596396,c,7,00000000,00000000,f,4
956,956,0,01596397,c,7,00000000,00000000,f,4
957,957,0,01596398,c,7,00000000,00000000,f,4
958,958,0,01596399,c,7,00000000,00000000,f,4
959,959,0,0159639a,c,7,00000000,00000000,f,4
960,960,0,0159639b,c,7,00000000,00000000,f,4
961,961,0,0159639c,c,7,00000000,00000000,f,4
962,962,0,0159639d,c,7,00000000,00000000,f,4
963,963,0,0159639e,c,7,00000000,00000000,f,4
964,964,0,0159639f,c,7,00000000,00000000,f,4
965,965,0,015963a0,c,7,00000000,00000000,f,4
966,966,0,015963a1,c,7,00000000,00000000,f,4
967,967,0,015963a2,c,7,00000000,00000000,f,4
968,968,0,015963a3,c,7,00000000,00000000,f,4
969,969,0,015963a4,c,7,00000000,00000000,f,4
970,970,0,015963a5,c,7,00000000,00000000,f,4
971,971,0,015963a6,c,7,00000000,00000000,f,4
972,972,0,015963a7,c,7,00000000,00000000,f,4
973,973,0,015963a8,c,7,00000000,00000000,f,4
974,974,0,015963a9,c,7,00000000,00000000,f,4
975,975,0,015963aa,c,7,00000000,00000000,f,4
976,976,0,015963ab,c,7,00000000,00000000,f,4
977,977,0,015963ac,c,7,00000000,00000000,f,4
978,978,0,015963ad,c,7,00000000,00000000,f,4
979,979,0,015963ae,c,7,00000000,00000000,f,4
980,980,0,015963af,c,7,00000000,00000000,f,4
981,981,0,015963b0,c,7,00000000,00000000,f,4
982,982,0,015963b1,c,7,00000000,00000000,f,4
983,983,0,015963b2,c,7,00000000,00000000,f,4
984,984,0,015963b3,c,7,00000000,00000000,f,4
985,985,0,015963b4,c,7,00000000,00000000,f,4
986,986,0,015963b5,c,7,00000000,00000000,f,4
987,987,0,015963b6,c,7,00000000,00000000,f,4
988,988,0,015963b7,c,7,00000000,00000000,f,4
989,989,0,015963b8,c,7,00000000,00000000,f,4
990,990,0,015963b9,c,7,00000000,00000000,f,4
991,991,0,015963ba,c,7,00000000,00000000,f,4
992,992,0,015963bb,c,7,00000000,00000000,f,4
993,993,0,015963bc,c,7,00000000,00000000,f,4
994,994,0,015963bd,c,7,00000000,00000000,f,4
995,995,0,015963be,c,7,00000000,00000000,f,4
996,996,0,015963bf,c,7,00000000,00000000,f,4
997,997,0,015963c0,c,7,00000000,00000000,f,4
998,998,0,015963c1,c,7,00000000,00000000,f,4
999,999,0,015963c2,c,7,00000000,00000000,f,4
1000,1000,0,015963c3,c,7,00000000,00000000,f,4
1001,1001,0,015963c4,c,7,00000000,00000000,f,4
1002,1002,0,015963c5,c,7,00000000,00000000,f,4
1003,1003,0,015963c6,c,7,00000000,00000000,f,4
1004,1004,0,015963c7,c,7,00000000,00000000,f,4
1005,1005,0,015963c8,c,7,00000000,00000000,f,4
1006,1006,0,015963c9,c,7,00000000,00000000,f,4
1007,1007,0,015963ca,c,7,00000000,00000000,f,4
1008,1008,0,015963cb,c,7,00000000,00000000,f,4
1009,1009,0,015963cc,c,7,00000000,00000000,f,4
1010,1010,0,015963cd,c,7,00000000,00000000,f,4
1011,1011,0,015963ce,c,7,00000000,00000000,f,4
1012,1012,0,015963cf,c,7,00000000,00000000,f,4
1013,1013,0,015963d0,c,7,00000000,00000000,f,4
1014,1014,0,015963d1,c,7,00000000,00000000,f,4
1015,1015,0,015963d2,c,7,00000000,00000000,f,4
1016,1016,0,015963d3,c,7,00000000,00000000,f,4
1017,1017,0,015963d4,c,7,00000000,00000000,f,4
1018,1018,0,015963d5,c,7,00000000,00000000,f,4
1019,1019,0,015963d6,c,7,00000000,00000000,f,4
1020,1020,0,015963d7,c,7,00000000,00000000,f,4
1021,1021,0,015963d8,c,7,00000000,00000000,f,4
1022,1022,0,015963d9,c,7,00000000,00000000,f,4
1023,1023,0,015963da,c,7,00000000,00000000,f,4
